<a href='ketqua.php?bd=nhat&f=voi14b12.pas'>nhat : voi14b12.pas</a> (2014-11-14 15:23:10) <br/>
<a href='ketqua.php?bd=nguyen&f=voi14b12_5.pas'>nguyen : voi14b12_5.pas</a> (2014-11-14 15:24:02) <br/>
<a href='ketqua.php?bd=tuan&f=voi14b12_3.pas'>tuan : voi14b12_3.pas</a> (2014-11-14 15:26:12) 192.168.5.36<br/>
<a href='ketqua.php?bd=nguyen&f=voi14b12_6.pas'>nguyen : voi14b12_6.pas</a> (2014-11-14 15:37:17) 192.168.5.52<br/>
<a href='ketqua.php?bd=pha&f=voi14b12.pas'>pha : voi14b12.pas</a> (2014-11-14 15:40:18) 192.168.5.44<br/>
<a href='ketqua.php?bd=pha&f=voi14b12_1.pas'>pha : voi14b12_1.pas</a> (2014-11-14 15:40:54) 192.168.5.44<br/>
<a href='ketqua.php?bd=son&f=voi14b2.pas'>son : voi14b2.pas</a> (2014-11-14 15:43:24) 192.168.5.11<br/>
<a href='ketqua.php?bd=pha&f=voi14b12_2.pas'>pha : voi14b12_2.pas</a> (2014-11-14 15:43:31) 192.168.5.44<br/>
<a href='ketqua.php?bd=son&f=voi14b2_1.pas'>son : voi14b2_1.pas</a> (2014-11-14 15:43:37) 192.168.5.11<br/>
<a href='ketqua.php?bd=son&f=voi14b2_2.pas'>son : voi14b2_2.pas</a> (2014-11-14 15:44:33) 192.168.5.11<br/>
<a href='ketqua.php?bd=nhat&f=voi14b12_4.pas'>nhat : voi14b12_4.pas</a> (2014-11-14 15:48:50) 192.168.5.40<br/>
<a href='ketqua.php?bd=pha&f=voi14b12_3.pas'>pha : voi14b12_3.pas</a> (2014-11-14 16:02:31) 192.168.5.44<br/>
<a href='ketqua.php?bd=nguyen&f=voi14b14.pas'>nguyen : voi14b14.pas</a> (2014-11-14 16:08:15) 192.168.5.52<br/>
<a href='ketqua.php?bd=nguyen&f=voi14b12_8.pas'>nguyen : voi14b12_8.pas</a> (2014-11-14 16:13:49) 192.168.5.52<br/>
<a href='ketqua.php?bd=viet&f=voi14b12.pas'>viet : voi14b12.pas</a> (2014-11-14 16:14:12) 192.168.5.38<br/>
<a href='ketqua.php?bd=suong&f=voi14b12.pas'>suong : voi14b12.pas</a> (2014-11-14 16:15:30) 192.168.5.13<br/>
<a target='_blank' href='ketqua.php?bd=suong&f=voi14b12_1.pas'>suong : voi14b12_1.pas</a> (2014-11-14 16:21:29) 192.168.5.13<br/>
<a target='_blank' href='ketqua.php?bd=suong&f=voi14b12_2.pas'>suong : voi14b12_2.pas</a> (2014-11-14 16:24:16) 192.168.5.13<br/>
<a target='_blank' href='ketqua.php?bd=pha&f=honuoc.pas'>pha : honuoc.pas</a> (2014-11-14 16:24:33) 192.168.5.44<br/>
<a target='_blank' href='ketqua.php?bd=pha&f=honuoc_1.pas'>pha : honuoc_1.pas</a> (2014-11-14 16:24:49) 192.168.5.44<br/>
<a target='_blank' href='ketqua.php?bd=pha&f=honuoc_2.pas'>pha : honuoc_2.pas</a> (2014-11-14 16:25:33) 192.168.5.44<br/>
<a target='_blank' href='ketqua.php?bd=pha&f=honuoc_3.pas'>pha : honuoc_3.pas</a> (2014-11-14 16:25:45) 192.168.5.44<br/>
<a target='_blank' href='ketqua.php?bd=pha&f=honuoc_4.pas'>pha : honuoc_4.pas</a> (2014-11-14 16:25:54) 192.168.5.44<br/>
<a target='xemketqua' href='ketqua.php?bd=tuan&f=voi14b14.pas'>tuan : voi14b14.pas</a> (2014-11-14 16:44:34) 192.168.5.36<br/>
<a target='xemketqua' href='ketqua.php?bd=tuan&f=voi14b14_1.pas'>tuan : voi14b14_1.pas</a> (2014-11-14 16:44:41) 192.168.5.36<br/>
<a target='xemketqua' href='ketqua.php?bd=nguyen&f=honuoc.pas'>nguyen : honuoc.pas</a> (2014-11-14 16:52:22) 192.168.5.52<br/>
<a target='xemketqua' href='ketqua.php?bd=nguyen&f=honuoc_1.pas'>nguyen : honuoc_1.pas</a> (2014-11-14 16:54:00) 192.168.5.52<br/>
<a target='xemketqua' href='ketqua.php?bd=son&f=voi14b12.pas'>son : voi14b12.pas</a> (2014-11-14 17:00:42) 192.168.5.11<br/>
<a target='xemketqua' href='ketqua.php?bd=son&f=voi14b12_1.pas'>son : voi14b12_1.pas</a> (2014-11-14 17:01:46) 192.168.5.11<br/>
<a target='xemketqua' href='ketqua.php?bd=viet&f=voi14b12_1.pas'>viet : voi14b12_1.pas</a> (2014-11-14 17:02:28) 192.168.5.38<br/>
<a target='xemketqua' href='ketqua.php?bd=son&f=voi14b12_2.pas'>son : voi14b12_2.pas</a> (2014-11-14 17:02:49) 192.168.5.11<br/>
<a target='xemketqua' href='ketqua.php?bd=trinh&f=voi14b12.pas'>trinh : voi14b12.pas</a> (2014-11-14 17:03:17) 192.168.5.75<br/>
<a target='xemketqua' href='ketqua.php?bd=trinh&f=voi14b12_1.pas'>trinh : voi14b12_1.pas</a> (2014-11-14 17:05:19) 192.168.5.75<br/>
<a target='xemketqua' href='ketqua.php?bd=tuan&f=voi14b14_2.pas'>tuan : voi14b14_2.pas</a> (2014-11-14 17:09:12) 192.168.5.36<br/>
<a target='xemketqua' href='ketqua.php?bd=tuan&f=voi14b14_3.pas'>tuan : voi14b14_3.pas</a> (2014-11-14 17:09:18) 192.168.5.36<br/>
<a target='xemketqua' href='ketqua.php?bd=nguyen&f=voi14b12_9.pas'>nguyen : voi14b12_9.pas</a> (2014-11-14 17:11:51) 192.168.5.52<br/>
<a target='xemketqua' href='ketqua.php?bd=trinh&f=honuoc.pas'>trinh : honuoc.pas</a> (2014-11-14 17:13:06) 192.168.5.75<br/>
<a target='xemketqua' href='ketqua.php?bd=viet&f=voi14b12_2.pas'>viet : voi14b12_2.pas</a> (2014-11-14 17:16:39) 192.168.5.38<br/>
<a target='xemketqua' href='ketqua.php?bd=nguyen&f=voi14b12_10.pas'>nguyen : voi14b12_10.pas</a> (2014-11-14 17:23:21) 192.168.5.52<br/>
<a target='xemketqua' href='ketqua.php?bd=nguyen&f=voi14b12_11.pas'>nguyen : voi14b12_11.pas</a> (2014-11-14 17:24:51) 192.168.5.52<br/>
<a target='xemketqua' href='ketqua.php?bd=tuan&f=honuoc_2.pas'>tuan : honuoc_2.pas</a> (2014-11-14 17:29:59) 192.168.5.36<br/>
<a target='xemketqua' href='ketqua.php?bd=tuan&f=honuoc_3.pas'>tuan : honuoc_3.pas</a> (2014-11-14 17:30:07) 192.168.5.36<br/>
<a target='xemketqua' href='ketqua.php?bd=tuan&f=honuoc_4.pas'>tuan : honuoc_4.pas</a> (2014-11-14 17:30:13) 192.168.5.36<br/>
<a target='xemketqua' href='ketqua.php?bd=tuan&f=honuoc_5.pas'>tuan : honuoc_5.pas</a> (2014-11-15 14:32:19) 192.168.5.23<br/>
<a target='xemketqua' href='ketqua.php?bd=tuan&f=honuoc_6.pas'>tuan : honuoc_6.pas</a> (2014-11-15 14:32:28) 192.168.5.23<br/>
<a target='xemketqua' href='ketqua.php?bd=tuan&f=honuoc_7.pas'>tuan : honuoc_7.pas</a> (2014-11-15 14:32:34) 192.168.5.23<br/>
<a target='xemketqua' href='ketqua.php?bd=tuan&f=honuoc_8.pas'>tuan : honuoc_8.pas</a> (2014-11-15 14:35:21) 192.168.5.23<br/>
<a target='xemketqua' href='ketqua.php?bd=tuan&f=honuoc_9.pas'>tuan : honuoc_9.pas</a> (2014-11-15 14:35:26) 192.168.5.23<br/>
<a target='xemketqua' href='ketqua.php?bd=trinh&f=timsobsu.pas'>trinh : timsobsu.pas</a> (2014-11-15 15:08:37) 192.168.5.19<br/>
<a target='xemketqua' href='ketqua.php?bd=trinh&f=timsobsu_1.pas'>trinh : timsobsu_1.pas</a> (2014-11-15 15:11:28) 192.168.5.19<br/>
<a target='xemketqua' href='ketqua.php?bd=nguyen&f=xaumecdn.pas'>nguyen : xaumecdn.pas</a> (2014-11-15 15:24:03) 192.168.5.10<br/>
<a target='xemketqua' href='ketqua.php?bd=trinh&f=timsobsu_2.pas'>trinh : timsobsu_2.pas</a> (2014-11-15 15:26:23) 192.168.5.23<br/>
<a target='xemketqua' href='ketqua.php?bd=tuan&f=xaumecdn.pas'>tuan : xaumecdn.pas</a> (2014-11-15 15:29:17) 192.168.5.18<br/>
<a target='xemketqua' href='ketqua.php?bd=tuan&f=xaumecdn_1.pas'>tuan : xaumecdn_1.pas</a> (2014-11-15 15:29:25) 192.168.5.18<br/>
<a target='xemketqua' href='ketqua.php?bd=pha&f=xaumecdn.pas'>pha : xaumecdn.pas</a> (2014-11-15 15:29:39) 192.168.5.16<br/>
<a target='xemketqua' href='ketqua.php?bd=nguyen&f=xaumecdn_1.pas'>nguyen : xaumecdn_1.pas</a> (2014-11-15 15:35:30) 192.168.5.10<br/>
<a target='xemketqua' href='ketqua.php?bd=nguyen&f=xaumecdn_2.pas'>nguyen : xaumecdn_2.pas</a> (2014-11-15 15:35:55) 192.168.5.10<br/>
<a target='xemketqua' href='ketqua.php?bd=tuan&f=xaumecdn_2.pas'>tuan : xaumecdn_2.pas</a> (2014-11-15 15:47:52) 192.168.5.18<br/>
<a target='xemketqua' href='ketqua.php?bd=tuan&f=xaumecdn_3.pas'>tuan : xaumecdn_3.pas</a> (2014-11-15 15:49:27) 192.168.5.18<br/>
<a target='xemketqua' href='ketqua.php?bd=viet&f=timsobsu.pas'>viet : timsobsu.pas</a> (2014-11-15 15:57:05) 192.168.5.11<br/>
